Path	Class	Requirement	Campaign Setting	Source	Pg. #	OGL Source/Legal Status
Avenger	Fighter	Level 9	Generic	Rules Cyclopedia	18	Dark Dungeons Deluxe
Druid	Cleric	Level 9	Generic	Rules Cyclopedia	28	Dark Dungeons Deluxe
Druidic Knight	Fighter	Level 9	Generic	Dragon #177	50	Dark Dungeons Deluxe
Halfling Master	Halfling	Level 8	Mystara	GAZ8 The Five Shires: Player's Booklet	19	Dark Dungeons Deluxe (Demihumans as Humans)
Knight	Fighter	Level 9	Generic	Rules Cyclopedia	18	Dark Dungeons Deluxe
Paladin	Fighter	Level 9	Generic	Rules Cyclopedia	18	Dark Dungeons Deluxe
